#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,Atlanta United FC,48,2,,24,14,4,6,50,28,22,,7-2-4,,7-2-2
2,New York Red Bulls,44,2,,22,14,6,2,44,23,21,,9-2-1,,5-4-1
3,New York City FC,44,1.91,,23,13,5,5,45,29,16,,10-0-2,,3-5-3
4,FC Dallas,42,1.91,,22,12,4,6,36,28,8,,7-1-4,,5-3-2
5,Portland Timbers,37,1.85,,20,10,3,7,33,25,8,,7-0-3,,3-3-4
6,Sporting Kansas City,36,1.64,,22,10,6,6,40,30,10,,6-2-3,,4-4-3
7,Los Angeles Football Club,36,1.64,,22,10,6,6,45,37,8,,5-0-5,,5-6-1
8,Columbus Crew SC,36,1.57,,23,10,7,6,30,29,1,,7-2-3,,3-5-3
9,LA Galaxy,35,1.52,,23,10,8,5,44,38,6,,6-4-1,,4-4-4
10,Real Salt Lake,34,1.48,,23,10,9,4,33,40,-7,,9-1-2,,1-8-2
11,Vancouver Whitecaps FC,30,1.3,,23,8,9,6,36,46,-10,,5-2-4,,3-7-2
12,Montreal Impact,29,1.21,,24,9,13,2,30,40,-10,,7-4-1,,2-9-1
13,Seattle Sounders FC,29,1.32,,22,8,9,5,24,25,-1,,4-4-2,,4-5-3
14,New England Revolution,29,1.32,,22,7,7,8,36,35,1,,6-3-3,,1-4-5
15,Minnesota United FC,28,1.22,,23,9,13,1,36,46,-10,,8-4-1,,1-9-0
16,Philadelphia Union,27,1.23,,22,8,11,3,29,37,-8,,5-4-2,,3-7-1
17,Houston Dynamo,27,1.23,,22,7,9,6,39,33,6,,6-4-2,,1-5-4
18,Orlando City SC,23,1,,23,7,14,2,35,54,-19,,5-5-2,,2-9-0
19,Toronto FC,23,1.05,,22,6,11,5,37,41,-4,,4-4-2,,2-7-3
20,Chicago Fire,23,0.96,,24,6,13,5,35,48,-13,,4-6-2,,2-7-3
21,Colorado Rapids,20,0.91,,22,5,12,5,27,37,-10,,4-5-3,,1-7-2
22,D.C. United,18,0.95,,19,4,9,6,30,36,-6,,3-1-1,,1-8-5
23,San Jose Earthquakes,16,0.73,,22,3,12,7,32,41,-9,,1-5-4,,2-7-3
