Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
NY Red Bulls,22,44,56,314,130,244,258,58,128,2,2
Sporting Kansas City,22,40,42,376,126,247,240,24,139,3,4
Colorado Rapids,22,27,23,264,88,329,267,37,113,3,5
Columbus Crew SC,23,30,29,330,95,255,248,60,149,6,7
New England Revolution,22,36,35,312,124,316,262,34,139,3,4
San Jose Earthquakes,22,32,27,292,102,258,311,39,110,3,4
Chicago Fire,24,35,35,249,100,265,230,57,105,2,3
LA Galaxy,23,44,45,289,107,287,231,52,127,1,1
D.C. United,19,30,35,215,81,225,228,30,89,1,2
Portland Timbers,20,33,26,278,106,222,227,44,96,4,4
Montreal Impact,24,30,29,277,87,278,282,49,94,3,3
Vancouver Whitecaps FC,23,36,37,278,103,258,278,52,95,4,4
Houston Dynamo,22,39,37,322,133,276,230,29,126,2,2
Real Salt Lake,23,33,32,320,128,242,281,42,93,4,6
FC Dallas,22,36,33,328,123,218,249,51,127,3,4
Toronto FC,22,37,39,325,119,183,244,44,109,3,7
Seattle Sounders FC,22,24,29,274,83,236,276,48,109,3,3
Philadelphia Union,22,29,28,315,112,267,226,44,127,4,5
Orlando City SC,23,35,36,323,117,251,298,57,130,3,5
Minnesota United,23,36,33,248,101,285,248,43,107,1,1
New York City FC,23,45,43,361,121,308,248,49,129,3,4
Atlanta United,24,50,43,360,144,241,285,54,113,10,12
Los Angeles FC,22,45,46,336,130,230,274,34,134,1,2
